Goal_Position_X, Goal_Position_Y, Goal_Position_Z, Effector_Position_X, Effector_Position_Y, Effector_Position_Z
-102.94726849998507, 3.29543751146684, 7.0, -100.42237738235426, 2.386322942189186, 6.402275003440149
-102.92950454290725, 3.810130516351611, 7.0, -100.36784115366413, 2.8716732298773406, 6.388516844243107
-102.90916735357679, 4.324728268171917, 7.0, -100.30950587935276, 3.356003505636955, 6.375151187119618
-102.88625744042233, 4.839217902010764, 7.0, -100.24739371410736, 3.8392646867467386, 6.362180176382308
-102.86077537619052, 5.353586555654105, 7.0, -100.18152759678625, 4.321408175676144, 6.349605828753823
-102.83272179793161, 5.867821369912386, 7.0, -100.11193123606549, 4.802385877668947, 6.337430032619448
-102.80209740698363, 6.381909488942035, 7.0, -100.03862909565449, 5.282150217955326, 6.3256545473764385
-102.76890296895476, 6.8958380605668514, 7.0, -99.9616463790923, 5.760654158572914, 6.314281002886787
-102.73313931370419, 7.409594236599311, 7.0, -99.88100901414023, 6.237851214786053, 6.303310899031501
-102.69480733532147, 7.923165173161773, 7.0, -99.79674363678603, 6.713695471091098, 6.292745605366912
-102.65390799210404, 8.43653803100757, 7.0, -99.7088775748756, 7.188141596780485, 6.282586360884845
-102.61044230653337, 8.949699975841995, 7.0, -99.61743883138705, 7.661144861073579, 6.272834273874457
-102.56441136524933, 9.462638178643152, 7.0, -99.52245606736652, 8.13266114776949, 6.263490321890761
-102.51581631902303, 9.975339815982691, 7.0, -99.42395858453995, 8.602646969447415, 6.2545553518211205
-102.46465838272813, 10.487792070346377, 7.0, -99.32197630762136, 9.071059481164696, 6.2460300800591195
-102.41093883531036, 10.999982130454542, 7.0, -99.21653976633277, 9.537856493671294, 6.237915092778387
-102.35465901975562, 11.511897191582364, 7.0, -99.1076800771578, 10.002996486102312, 6.230210846309915
-102.29582034305632, 12.023524455879972, 7.0, -98.99542892484268, 10.466438618172724, 6.222917667617605
-102.23442427617637, 12.534851132692408, 7.0, -98.87981854366986, 10.9281427418237, 6.216035754877677
-102.17047235401421, 13.045864438879384, 7.0, -98.7608816985176, 11.388069412348237, 6.209565178154951
-102.10396617536458, 13.556551599134856, 7.0, -98.63865166572964, 11.846179898963198, 6.203505880176117
-102.03490740287847, 14.066899846306425, 7.0, -98.51316221381195, 12.30243619483731, 6.197857677201263
-101.9632977630216, 14.576896421714483, 7.0, -98.38444758397726, 12.756801026555294, 6.192620259989411
-101.88913904603125, 15.08652857547121, 7.0, -98.25254247055597, 13.209237863030674, 6.18779319485763
-101.81243310587148, 15.595783566799309, 7.0, -98.11748200130053, 13.659710923822747, 6.183375924830369
-101.73318186018676, 16.104648664350517, 7.0, -97.97930171758789, 14.108185186921872, 6.179367770879486
-101.65138729025416, 16.6131111465239, 7.0, -97.83803755455887, 14.554626395926597, 6.175767933250974
-101.56705144093362, 17.121158301783883, 7.0, -97.69372582120228, 14.99900106665063, 6.172575492876879
-101.48017642061701, 17.62877742897805, 7.0, -97.54640318040303, 15.441276493169301, 6.169789412868286
-101.39076440117532, 18.135955837654656, 7.0, -97.39610662898399, 15.881420753260691, 6.167408540092895
-101.29881761790435, 18.6426808483799, 7.0, -97.2428734777523, 16.319402713279107, 6.16543160682492
-101.20433836946891, 19.148939793054907, 7.0, -97.08674133157078, 16.755192032454374, 6.1638572324723615
-101.1073290178453, 19.654720015232428, 7.0, -96.92774806947845, 17.18875916660267, 6.162683925379075
-101.00779198826224, 20.160008870433252, 7.0, -96.7659318248699, 17.62007537128361, 6.16191008469028
-100.90572976914028, 20.664793726462317, 7.0, -96.60133096577015, 18.049112704349106, 6.16153400229093
-100.8011449120296, 21.169061963724506, 7.0, -96.43398407519429, 18.47584402797154, 6.16155386480277
-100.69404003154618, 21.672800975540156, 7.0, -96.26392993164062, 18.90024301007799, 6.161967755643277
-100.58441780530646, 22.17599816846021, 7.0, -96.09120748971634, 19.322284125233146, 6.162773657143584
-100.47228097386035, 22.678640962581053, 7.0, -95.9158558609159, 19.741942654980026, 6.163969452717532
-100.35763234062283, 23.18071679185901, 7.0, -95.73791429456814, 20.159194687643023, 6.165552929083013
-100.24047477180376, 23.682213104424495, 7.0, -95.55742215898007, 20.574017117571906, 6.167521778531688
-100.12081119633623, 24.18311736289582, 7.0, -95.37441892277452, 20.986387643877787, 6.169873601241386
-99.99864460580342, 24.683417044692604, 7.0, -95.18894413644736, 21.3962847686501, 6.172605907629909
-99.87397805436373, 25.183099642348868, 7.0, -95.00103741415744, 21.80368779466292, 6.175716120747051
-99.74681465867444, 25.68215266382569, 7.0, -94.81073841576948, 22.208576822569388, 6.179201578701551
-99.61715759781383, 26.18056363282353, 7.0, -94.618086829143, 22.61093274763689, 6.183059537116232
-99.48501011320167, 26.678320089094115, 7.0, -94.42312235271558, 23.010737255963285, 6.187287171615147
-99.35037550851817, 27.175409588751975, 7.0, -94.2258846783439, 23.40797282028003, 6.191881580329642
-99.21325714962147, 27.6718197045855, 7.0, -94.02641347446792, 23.802622695254843, 6.196839786432257
-99.07365846446336, 28.167538026367644, 7.0, -93.82474836956852, 24.194670912377294, 6.202158740681787
-98.93158294300373, 28.66255216116619, 7.0, -93.62092893594797, 24.584102274409776, 6.207835323987701
-98.78703413712321, 29.156849733653548, 7.0, -93.41499467383485, 24.970902349430464, 6.213866349983718
-98.64001566053442, 29.650418386416145, 7.0, -93.2069849958344, 25.35505746446087, 6.220248567611128
-98.4905311886916, 30.143245780263378, 7.0, -92.9969392117137, 25.736554698722767, 6.226978663705313
-98.33858445869879, 30.635319594536057, 7.0, -92.7848965135604, 26.115381876489927, 6.234053265587912
-98.1841792692163, 31.126627527414463, 7.0, -92.57089596126443, 26.491527559640065, 6.241468943654164
-98.02731948036583, 31.617157296225866, 7.0, -92.35497646842138, 26.86498103977964, 6.249222213960266
-97.86800901363395, 32.10689663775158, 7.0, -92.13717678855873, 27.23573233010863, 6.257309540801972
-97.70625185177401, 32.59583330853359, 7.0, -91.91753550177091, 27.603772156931576, 6.265727339285083
-97.54205203870664, 33.08395508518059, 7.0, -91.69609100172937, 27.969091950875296, 6.274471977883581
-97.37541367941861, 33.571249764673574, 7.0, -91.47288148307592, 28.331683837825928, 6.283539780984162
-97.20634093986023, 34.05770516467094, 7.0, -91.24794492922048, 28.691540629577315, 6.2929270314136865
-97.03483804684117, 34.54330912381303, 7.0, -91.02131910051345, 29.048655814245713, 6.302629972945168
-96.86090928792484, 35.02804950202616, 7.0, -90.79304152283137, 29.40302354642266, 6.312644812785558
-96.68455901132116, 35.51191418082611, 7.0, -90.56314947655089, 29.75463863710968, 6.3229677240374
-96.50579162577782, 35.99489106362111, 7.0, -90.33167998591878, 30.103496543445875, 6.3335948481342506
-96.32461160047019, 36.47696807601426, 7.0, -90.09866980884898, 30.44959335820139, 6.344522297250899
-96.14102346488944, 36.95813316610535, 7.0, -89.86415542706322, 30.792925799154588, 6.35574615667776
-95.95503180872943, 37.438374304792184, 7.0, -89.6281730366999, 31.13349119822177, 6.367262487170666
